1,Tissue,Repository,Voucher Number,NumberSpecimens,Genus/highertaxon,species,,,,modifier,Old_ID,seq'd?,Tissue used up in extraction?,Loc_label,Locality,Locality2,Notes,Tissue,lat,long,depth,depth2,date,collector,preservative,sample number,Collection method
718,MOLAF_0717,NHM,2010.193-195,,Pelagothuriidae,sp,717,,,,,COI,,Mairie_Byrd,Mairie Byrd S/mt,BIO7-AGT-3000-DR19,British Antarctic Survey,,-69.260940,-117.334820,3465.95,,14.03.2008,,,,
719,MOLAF_0718,NHM,2010.204,,Protelpidia,murrayi,718,,,,,COI,,SSandwich,Southern Thule,ST-AGT-2,British Antarctic Survey,,-59.507590,-27.304670,1046.83,,28.03.2006,,,,
720,MOLAF_0719,NHM,2010.198-203,,Protelpidia,murrayi,719,,,,,COI,,Powell_Basin,Powell Basin,PB-AGT-2,British Antarctic Survey,,-61.035560,-46.865290,1014.62,,17.03.2006,,,,
721,MOLAF_0720,NHM,2010.209,,Peniagone,incerta,720,,,,,COI,,SSandwich,Southern Thule,ST-AGT-1,British Antarctic Survey,,-59.517850,-27.436230,1545.45,,28.03.2006,,,,
722,MOLAF_0721,NHM,2010.283-285,,Peniagone,vignoni,721,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3A,British Antarctic Survey,,-74.409860,-104.654770,510.84,,06.03.2008,,,,
723,MOLAF_0722,NHM,2010.198-203,,Protelpidia,murrayi,722,,,,,COI,,Powell_Basin,Powell Basin,PB-AGT-2,British Antarctic Survey,,-61.035560,-46.865290,1014.62,,17.03.2006,,,,
724,MOLAF_0723,NHM,2010.261-270,,Elpidia,glacialis,723,,,,,seq_failed,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-1B,British Antarctic Survey,,-74.357910,-104.730570,1408.29,,06.03.2008,,,,
725,MOLAF_0724,NHM,2010.227-229,,Peniagone,vignoni,724,,,,,COI,,Bellingshausen_Sea,Bellingshausen Sea,BIO1-AGT-3B,British Antarctic Survey,,-68.533670,-76.196370,463.12,,28.02.2008,,,,
726,MOLAF_0725,NHM,2010.234,,Peniagone,vignoni,725,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-2C,British Antarctic Survey,,-71.179010,-109.893870,997.95,,12.03.2008,,,,
727,MOLAF_0726,NHM,2010.198-203,,Protelpidia,murrayi,726,,,,,COI,,Powell_Basin,Powell Basin,PB-AGT-2,British Antarctic Survey,,-61.035560,-46.865290,1014.62,,17.03.2006,,,,
728,MOLAF_0727,NHM,2010.227-229,,Peniagone,vignoni,727,,,,,COI,,Bellingshausen_Sea,Bellingshausen Sea,BIO1-AGT-3B,British Antarctic Survey,,-68.533670,-76.196370,463.12,,28.02.2008,,,,
729,MOLAF_0728,NMV,F168834,,Elpidia,glacialis,728,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-2A,British Antarctic Survey,,-74.478900,-104.236990,1208.15,,05.03.2008,,,,
730,MOLAF_0729,NHM,2010.256,,Peniagone,vignoni,729,Elpidia,glacialis,,,COI,,SShetlands,Livingston Island,LI-EBS-3,British Antarctic Survey,,-62.395600,-61.769720,624.21,,04.03.2006,,,,
731,MOLAF_0730,NHM,2010.256,,Peniagone,vignoni,730,Elpidia,glacialis,,,COI,,SShetlands,Livingston Island,LI-EBS-3,British Antarctic Survey,,-62.395600,-61.769720,624.21,,04.03.2006,,,,
732,MOLAF_0731,NHM,2010.323-332,,Elpidia,glacialis,731,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-2C,British Antarctic Survey,,-74.477420,-104.257040,1150.58,,05.03.2008,,,,
733,MOLAF_0732,NHM,2010.323-332,,Elpidia,glacialis,732,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-2C,British Antarctic Survey,,-74.477420,-104.257040,1150.58,,05.03.2008,,,,
735,MOLAF_0734,NHM,2010.176-185,,Kolga,hyalina,734,,,,,COI,,S_Orkneys,South Orkneys,PB-EBS-1,British Antarctic Survey,,-61.035920,-46.955870,1655.95,,17.03.2006,,,,
736,MOLAF_0735,NMV,F168656,,Kolga,hyalina,735,,,,,COI,,S_Orkneys,South Orkneys,PB-EBS-1,British Antarctic Survey,,-61.035920,-46.955870,1655.95,,17.03.2006,,,,
737,MOLAF_0736,NHM,2010.186-192,,Kolga,hyalina,736,,,,,COI,,S_Orkneys,South Orkneys,PB-EBS-1,British Antarctic Survey,,-61.035920,-46.955870,1655.95,,17.03.2006,,,,
738,MOLAF_0737,NMV,F168649,,Kolga,hyalina,737,,,,,COI,,S_Orkneys,South Orkneys,PB-EBS-1,British Antarctic Survey,,-61.035920,-46.955870,1655.95,,17.03.2006,,,,
739,MOLAF_0738,NHM,2010.286-292,,Peniagone,vignoni,738,,,,,COI,,Bellingshausen_Sea,Bellingshausen Sea,BIO1-AGT-2A,British Antarctic Survey,,-68.472630,-76.124320,964.38,,27.02.2008,,,,
740,MOLAF_0739,NHM,2010.333-342,,Elpidia,glacialis,739,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-1A,British Antarctic Survey,,-74.126640,-105.777410,1517.67,,06.03.2008,,,,
741,MOLAF_0740,NHM,2010.333-342,,Elpidia,glacialis,740,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-1A,British Antarctic Survey,,-74.126640,-105.777410,1517.67,,06.03.2008,,,,
742,MOLAF_0741,NHM,2010.333-342,,Elpidia,glacialis,741,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-1A,British Antarctic Survey,,-74.126640,-105.777410,1517.67,,06.03.2008,,,,
743,MOLAF_0742,NHM,2010.205,,Protelpidia,murrayi,742,,,,,COI,,SShetlands,Elephant Island,EI-AGT-2,British Antarctic Survey,,-61.575440,-55.256350,990.49,,12.03.2006,,,,
744,MOLAF_0743,NMV,F168838,,Bathyplotes,species,743,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO3-AGT-1A,British Antarctic Survey,,-71.810350,-106.329910,590.35,,04.03.2008,,,,
745,MOLAF_0744,NHM,2010.301-310,,Peniagone,vignoni,744,,,,,COI,,Bellingshausen_Sea,Bellingshausen Sea,BIO1-AGT-3A,British Antarctic Survey,,-68.526320,-76.176140,464.34,,28.02.2008,,,,
746,MOLAF_0745,NMV,F168837,,Elpidia,glacialis,745,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-1A,British Antarctic Survey,,-74.359250,-104.730770,1415.91,,06.03.2008,,,,
747,MOLAF_0746,NMV,F168837,,Elpidia,glacialis,746,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-1A,British Antarctic Survey,,-74.359250,-104.730770,1415.91,,06.03.2008,,,,
748,MOLAF_0747,NMV,F168837,,Elpidia,glacialis,747,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-1A,British Antarctic Survey,,-74.359250,-104.730770,1415.91,,06.03.2008,,,,
749,MOLAF_0748,NHM,2010.293-300,,Peniagone,vignoni,748,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-2A,British Antarctic Survey,,-71.175120,-109.863140,1079.85,,12.03.2008,,,,
750,MOLAF_0749,NHM,2010.293-300,,Peniagone,vignoni,749,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-2A,British Antarctic Survey,,-71.175120,-109.863140,1079.85,,12.03.2008,,,,
751,MOLAF_0750,NHM,2010.175,,Rhipidothuria,racowitzai,750,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO3-AGT-1B,British Antarctic Survey,,-71.801190,-106.294730,590,,04.03.2008,,,,
752,MOLAF_0751,NMV,F168835,,Elpidia,glacialis,751,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-2C,British Antarctic Survey,,-73.865640,-106.298660,1136.83,,05.03.2008,,,,
753,MOLAF_0752,NMV,F168835,,Elpidia,glacialis,752,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-2C,British Antarctic Survey,,-73.865640,-106.298660,1136.83,,05.03.2008,,,,
754,MOLAF_0753,NMV,F168835,,Elpidia,glacialis,753,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-2C,British Antarctic Survey,,-73.865640,-106.298660,1136.83,,05.03.2008,,,,
755,MOLAF_0754,NHM,2010.196-197,,Pelagothuriidae,sp,754,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-1A,British Antarctic Survey,,-71.146270,-109.971480,1530.99,,13.03.2008,,,,
756,MOLAF_0755,NHM,2010.274-275,,Peniagone,vignoni,755,,,,,COI,,Bellingshausen_Sea,Bellingshausen Sea,BIO1-AGT-3C,British Antarctic Survey,,-68.535710,-76.201730,468.73,,28.02.2008,,,,
757,MOLAF_0756,NHM,2010.193-195,,Pelagothuriidae,sp,756,,,,,COI,,Mairie_Byrd,Mairie Byrd S/mt,BIO7-AGT-3000-DR19,British Antarctic Survey,,-69.260940,-117.334820,3465.95,,14.03.2008,,,,
758,MOLAF_0757,NHM,2010.323-332,,Elpidia,glacialis,757,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-2C,British Antarctic Survey,,-74.477420,-104.257040,1150.58,,05.03.2008,,,,
760,MOLAF_0759,NHM,2010.343-351,,Elpidia,glacialis,759,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-2B,British Antarctic Survey,,-73.871810,-106.299340,1109.85,,09.03.2008,,,,
761,MOLAF_0760,NHM,2010.311,,Elpidia,glacialis,760,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-1A,British Antarctic Survey,,-74.359250,-104.730770,1415.91,,06.03.2008,,,,
762,MOLAF_0761,NHM,2010.21,,Peniagone,incerta,761,,,,,COI,,Powell_Basin,Powell Basin,PB-AGT-1,British Antarctic Survey,,-61.095900,-47.088470,1534,,17.03.2006,,,,
763,MOLAF_0762,NHM,2010.196-197,,Pelagothuriidae,sp,762,,,,,seq_failed,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-1A,British Antarctic Survey,,-71.146270,-109.971480,1530.99,,13.03.2008,,,,
764,MOLAF_0763,NHM,2010.227-229,,Peniagone,vignoni,763,,,,,COI,,Bellingshausen_Sea,Bellingshausen Sea,BIO1-AGT-3B,British Antarctic Survey,,-68.533670,-76.196370,463.12,,28.02.2008,,,,
765,MOLAF_0764,NHM,2010.312,,Peniagone,incerta,764,,,,,COI,,Powell_Basin,Powell Basin,PB-AGT-1,British Antarctic Survey,,-61.095900,-47.088470,1534,,17.03.2006,,,,
766,MOLAF_0765,NHM,2010.219,,Molpadiodemas,crinitus,765,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO3-AGT-1A,British Antarctic Survey,,-71.810350,-106.329910,590.35,,04.03.2008,,,,
767,MOLAF_0766,NHM,2010.225,,Bathyplotes,gourdoni,766,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
768,MOLAF_0767,NHM,2010.224,,Bathyplotes,bongraini,767,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-EBS-3E ,British Antarctic Survey,,-74.396030,-104.757930,517.96,,07.03.2008,,,,
769,MOLAF_0768,NHM,2010.211-214,,Mesothuria,bifurcata,768,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-3A,British Antarctic Survey,,-71.348150,-109.998380,485.72,,11.03.2008,,,,
770,MOLAF_0769,NHM,2010.211-214,,Mesothuria,bifurcata,769,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-3A,British Antarctic Survey,,-71.348150,-109.998380,485.72,,11.03.2008,,,,
771,MOLAF_0770,NHM,2010.211-214,,Mesothuria,bifurcata,770,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-3A,British Antarctic Survey,,-71.348150,-109.998380,485.72,,11.03.2008,,,,
772,MOLAF_0771,NHM,2010.211-214,,Mesothuria,bifurcata,771,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-3A,British Antarctic Survey,,-71.348150,-109.998380,485.72,,11.03.2008,,,,
773,MOLAF_0772,NHM,2010.215-217,,Mesothuria,bifurcata,772,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-3B,British Antarctic Survey,,-71.341570,-109.998380,480.95,,11.03.2008,,,,
774,MOLAF_0773,NHM,2010.215-217,,Mesothuria,bifurcata,773,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-3B,British Antarctic Survey,,-71.341570,-109.998380,480.95,,11.03.2008,,,,
775,MOLAF_0774,NHM,2010.215-217,,Mesothuria,bifurcata,774,,,,,COI,,Amundsen_Sea,"Pine Island Bay, outer shelf",BIO6-AGT-3B,British Antarctic Survey,,-71.341570,-109.998380,480.95,,11.03.2008,,,,
776,MOLAF_0775,NHM,2010.218,,Mesothuria,bifurcata,775,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-2B,British Antarctic Survey,,-74.480010,-104.255160,1162.83,,05.03.2008,,,,
777,MOLAF_0776,NHM,2010.220-221,,Pseudostichopus,spiculiferus,776,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-3A,British Antarctic Survey,,-73.974880,-107.422270,557.8,,10.03.2008,,,,
778,MOLAF_0777,NHM,2010.220-221,,Pseudostichopus,spiculiferus,777,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-3A,British Antarctic Survey,,-73.974880,-107.422270,557.8,,10.03.2008,,,,
779,MOLAF_0778,NHM,2010.222,,Pseudostichopus,spiculiferus,778,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-3C,British Antarctic Survey,,-73.986370,-107.390390,541.75,,10.03.2008,,,,
780,MOLAF_0779,NHM,2010.223,,Pseudostichopus,spiculiferus,779,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-3D,British Antarctic Survey,,-73.980450,-107.408050,544.05,,10.03.2008,,,,
781,MOLAF_0780,NMV,F168647,,Trachythyone,species 1,780,,,,,COI,,SShetlands,South Shetlands,KGI-RBOT-1,British Antarctic Survey,,-62.879150,-61.001370,209.39,,06.03.2006,,,,
782,MOLAF_0781,NHM,2010.158-163,,Staurocucumis,liouvillei,781,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3A,British Antarctic Survey,,-74.409860,-104.654770,510.84,,06.03.2008,,,,
784,MOLAF_0783,NHM,2010.158-163,,Staurocucumis,liouvillei,783,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3A,British Antarctic Survey,,-74.409860,-104.654770,510.84,,06.03.2008,,,,
785,MOLAF_0784,NHM,2010.124,,Heterocucumis,steineni,784,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3A,British Antarctic Survey,,-74.409860,-104.654770,510.84,,06.03.2008,,,,
786,MOLAF_0785,NHM,2010.125-130,,Heterocucumis,steineni,785,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
787,MOLAF_0786,NHM,2010.125-130,,Heterocucumis,steineni,786,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
788,MOLAF_0787,NHM,2010.168-173,,Staurocucumis,liouvillei,787,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
789,MOLAF_0788,NHM,2010.168-173,,Staurocucumis,liouvillei,788,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
790,MOLAF_0789,NHM,2010.133-136,,Psolicrux,iuvenilesi,789,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
791,MOLAF_0790,NMV,F168655,,Trachythyone,species 2,790,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
792,MOLAF_0791,NHM,2010.156,,Paracucumis,turricata,791,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-BC476,British Antarctic Survey,,-74.483300,-104.416600,1120,,06.03.2008,,,,
793,MOLAF_0792,NHM,2010.157,,Paracucumis,turricata,792,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-3A,British Antarctic Survey,,-73.974880,-107.422270,557.8,,10.03.2008,,,,
794,MOLAF_0793,NHM,2010.118,,Crucella,hystrix,793,,,,,COI,,Amundsen_Sea,Pine Island Bay,BIO6-AGT-3A,British Antarctic Survey,,-71.348150,-109.998380,485.72,,11.03.2008,,,,
795,MOLAF_0794,NHM,2010.131,,Psolicrux,iuvenilesi,794,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3A,British Antarctic Survey,,-74.409860,-104.654770,510.84,,06.03.2008,,,,
796,MOLAF_0795,NHM,2010.132,,Psolicrux,iuvenilesi,795,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
797,MOLAF_0796,NHM,2010.119-123,,Crucella,scotiae,796,,,,,seq_failed,,S_Orkneys,South Orkneys,PB-EBS-3,British Antarctic Survey,,-60.990210,-46.831810,506.03,,17.03.2006,,,,
798,MOLAF_0797,NHM,2010.193-195,,Pelagothuriidae,sp,797,,,,,COI,,Mairie_Byrd,Mairie Byrd S/mt,BIO7-AGT-3000-DR19,British Antarctic Survey,,-69.260940,-117.334820,3465.95,,14.03.2008,,,,
799,MOLAF_0798,NMV,F168639,,Sigmodota,magnibacula,798,,,,,COI,,S_Orkneys,South Orkneys,PB-EBS-4,British Antarctic Survey,,-60.821650,-46.485290,215.99,,18.03.2006,,,,
800,MOLAF_0799,NMV,F168640,,Taeniogyrus,antarcticus,799,,,,,COI,,S_Orkneys,South Orkneys,PB-EBS-4,British Antarctic Survey,,-60.821650,-46.485290,215.99,,18.03.2006,,,,
801,MOLAF_0800,NMV,F168640,,Taeniogyrus,antarcticus,800,,,,,seq_failed,,S_Orkneys,South Orkneys,PB-EBS-4,British Antarctic Survey,,-60.821650,-46.485290,215.99,,18.03.2006,,,,
802,MOLAF_0801,NMV,F168641,,Taeniogyrus,antarcticus,801,,,,,seq_failed,,S_Orkneys,South Orkneys,PB-EBS-4,British Antarctic Survey,,-60.821650,-46.485290,215.99,,18.03.2006,,,,
803,MOLAF_0802,NMV,F168641,,Taeniogyrus,antarcticus,802,,,,,seq_failed,,S_Orkneys,South Orkneys,PB-EBS-4,British Antarctic Survey,,-60.821650,-46.485290,215.99,,18.03.2006,,,,
804,MOLAF_0803,NMV,F168642,,Sigmodota,contorta,803,,,,,COI,,S_Orkneys,South Orkneys,SG-EBS-3,British Antarctic Survey,,-53.597450,-37.902120,502.66,,05.04.2006,,,,
805,MOLAF_0804,NMV,F168642,,Sigmodota,contorta,804,,,,,seq_failed,,S_Orkneys,South Orkneys,SG-EBS-3,British Antarctic Survey,,-53.597450,-37.902120,502.66,,05.04.2006,,,,
806,MOLAF_0805,NMV,F168643,,Myriotrochus,antarcticus,805,,,,,seq_failed,,,,PB-EBS-4,British Antarctic Survey,,-60.821650,-46.485290,215.99,,18.03.2006,,,,
807,MOLAF_0806,NMV,F168653 ,,Psolus,species 5,806,,,,,seq_failed,,Amundsen_Sea,"Pine Island Bay, Basin",BIO6-AGT-2C,British Antarctic Survey,,-71.182110,-109.926390,986.93,,12.03.2008,,,,
808,MOLAF_0807,NMV,F168644,,Molpadia,cf musculus,807,,,,,COI,,SShetlands,South Shetlands,LI-AGT-3,British Antarctic Survey,,-62.396330,-61.762650,556.41,,03.03.2006,,,,
809,MOLAF_0808,NHM,2010.115,,Molpadia,cf musculus,808,,,,,COI,,SShetlands,South Shetlands,LI-AGT-3,British Antarctic Survey,,-62.396330,-61.762650,556.41,,03.03.2006,,,,
810,MOLAF_0809,NHM,2010.116,,Molpadia,cf musculus,809,,,,,COI,,SShetlands,South Shetlands,LI-AGT-3,British Antarctic Survey,,-62.396330,-61.762650,556.41,,03.03.2006,,,,
811,MOLAF_0810,NMV,F168645,,Molpadia,species 1,810,,,,,seq_failed,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-3A,British Antarctic Survey,,-73.974880,-107.422270,557.8,,10.03.2008,,,,
812,MOLAF_0811,NHM,2010.117,,Molpadia,species 1,811,,,,,seq_failed,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-2B,British Antarctic Survey,,-74.480010,-104.255160,1162.83,,05.03.2008,,,,
813,MOLAF_0812,NMV,F168646,,Molpadia,rossi,812,,,,species 2,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO5-AGT-2B,British Antarctic Survey,,-73.871810,-106.299340,1109.85,,09.03.2008,,,,
814,MOLAF_0813,NMV,F168648,,Molpadia,discors,813,,,,,seq_failed,,S_Orkneys,South Orkneys,PB-EBS-3,British Antarctic Survey,,-60.990210,-46.831810,506.03,,18.03.2006,,,,
815,MOLAF_0814,NMV,F168654,,Trachythyone,species 3 (? sp 2) ,814,,,,,COI,,Amundsen_Sea,"Pine Island Bay, Basin",BIO4-AGT-3B,British Antarctic Survey,,-74.398860,-104.629540,496.63,,07.03.2008,,,,
816,MOLAF_0815,NMV,F168836,,Cucumariidae,species 2,815,,,,,COI,,Falkland,Shag Rocks,SR-EBS-4,British Antarctic Survey,,-53.628100,-40.907410,205.69,,11.04.2006,,,,
817,MOLAF_0816,NMV,F168650,,Cucumariidae,species 1,816,,,,,COI,,Falkland,Shag Rocks,SR-EBS-4,British Antarctic Survey,,-53.628100,-40.907410,205.69,,11.04.2006,,,,
2,MOLAF_0001,NMV,F98047,,Holothuria,n_sp,,,,,,not_seq,,,,,,,,,,,,,,,
3,MOLAF_0002,NMV,F98737,,Stichopus,horrens,,,,,,seq_failed,,,,,,,,,,,,,,,
4,MOLAF_0003,NMV,F98738,,Stichopus,horrens,,,,,,seq_failed,,,,,,,,,,,,,,,
5,MOLAF_0004,NMV,F98740,,Stichopus,horrens,,,,,,not_seq,,,,,,,,,,,,,,,
6,MOLAF_0005,NMV,F97696,,Bathyplotes,moseleyi,,,,,,not_seq,,,,,,,,,,,,,,,
7,MOLAF_0006,NMV,F98475,,Bathyplotes,phlegmaticus,,,,,,not_seq,,,,,,,,,,,,,,,
8,MOLAF_0007,NMV,F97707,,Bathyplotes,punctatus,,,,,,not_seq,,,,,,,,,,,,,,,
9,MOLAF_0008,NMV,F97708,,Bathyplotes,punctatus,,,,,,not_seq,,,,,,,,,,,,,,,
10,MOLAF_0009,NMV,F97691,,Bathyplotes,punctatus,,,,,,not_seq,,,,,,,,,,,,,,,
11,MOLAF_0010,NMV,F98048,,Bathyplotes,punctatus,,,,,,seq_failed,,,,,,,,,,,,,,,
12,MOLAF_0011,NMV,F98051,,Bathyplotes,sulcatus,,,,,,not_seq,,,,,,,,,,,,,,,
13,MOLAF_0012,NMV,F98052,,Bathyplotes,sulcatus,,,,,,not_seq,,,,,,,,,,,,,,,
14,MOLAF_0013,NMV,F98459,,Bathyplotes,sulcatus,,,,,,COI,,Tasman,,,,,,,,,,,,,
15,MOLAF_0014,NMV,F98471,,Bathyplotes,sulcatus,,,,,,seq_failed,,,,,,,,,,,,,,,
16,MOLAF_0015,NMV,F98688,,Bathyplotes,sulcatus,,,,,,seq_failed,,,,,,,,,,,,,,,
17,MOLAF_0016,NMV,F98697,,Bathyplotes,sulcatus,,,,,,COI,,Tasman,,,,,,,,,,,,,
18,MOLAF_0017,NMV,F98718,,Bathyplotes,sulcatus,,,,,,COI,,Tasman,,,,,,,,,,,,,
19,MOLAF_0018,NMV,F98462,,Benthothuria,sp,,,,,,COI,,Tasman,,,,,,,,,,,,,
